Date,Open,High,Low,Close,Volume
2005-01-03,82.02481044183934,82.1597671537317,80.90469804752962,81.17460632324219,55748000
2005-01-04,81.28258681850684,81.33656951672836,79.9195571508908,80.1827163696289,69167600
2005-01-05,80.12194939100132,80.46608250607213,79.62262252173174,79.6293716430664,65667300
2005-01-06,79.91954662388918,80.3986314243349,79.79808814292598,80.03425598144531,47814700
2005-01-07,80.27715903339394,80.45260017506861,79.71035117108809,79.9195327758789,55847700
2005-01-10,79.85205961193718,80.60780178578551,79.85205961193718,80.29740905761719,56563300
2005-01-11,80.05448755914006,80.1219633400204,79.6158872613097,79.74409484863281,63099700
2005-01-12,79.89256906503181,80.18946362123009,79.29876965648792,80.00727844238281,72720500
2005-01-13,80.05450278790087,80.11523460589665,79.28526741377478,79.36624145507812,55537500
2005-01-14,79.60236085149614,79.98022918474928,79.46066022652623,79.7845458984375,42032500
2005-01-18,79.65634808442023,80.71573342072149,79.58886717983512,80.61451721191406,57391700
2005-01-19,80.58756415808605,80.64829082337302,79.76434615260058,79.7710952758789,54378900
2005-01-20,79.54842224622224,79.75759873968212,79.14356235807583,79.28526306152344,72049300
2005-01-21,79.4809712677923,79.62267201547465,78.71173569575994,78.79945373535156,63160400
2005-01-24,79.00859632699627,79.17728835620045,78.52276760726886,78.64422607421875,58441900
2005-01-25,78.88716784545134,79.26503646245615,78.75896021550737,78.8669204711914,68245000
2005-01-26,79.16379978302642,79.35273404284068,78.97486552321217,79.10307312011719,57195100
2005-01-27,79.07610178196839,79.45397039719565,78.93440105125816,79.23804473876953,55878800
2005-01-28,79.27852919095137,79.31901879120699,78.68473491729799,79.23804473876953,60738900
2005-01-31,79.58889262323322,79.79132510556276,79.42694972621271,79.73059844970703,52532700
2005-02-01,79.79133723693636,80.35139606153643,79.69012098038279,80.23668670654297,49841200
2005-02-02,80.3379135301481,80.69553991159735,80.22995327729251,80.4796142578125,52468900
2005-02-03,80.33790731487844,80.40538825927545,80.00727230924078,80.27043151855469,48837100
2005-02-04,80.29742079767942,81.26233958965848,80.28392769799164,81.12738800048828,50024600
2005-02-07,81.14083708570726,81.32302214706891,80.94515378390676,81.01937866210938,45412000
2005-02-08,81.08688499978705,81.41077596755144,81.01940921635722,81.11387634277344,39263500
2005-02-09,81.25556950534087,81.30280306417353,80.46609210139275,80.50657653808594,55279400
2005-02-10,80.74274488228289,80.98565663668083,80.47283664086446,80.79672241210938,45858600
2005-02-11,80.76972061476808,81.6739123342307,80.60777775011464,81.4917221069336,53133000
2005-02-14,81.43776413715011,81.55247347931818,81.29606345304744,81.43101501464844,32432100
2005-02-15,81.51201816378396,81.93712036797626,81.43104410904898,81.73468780517578,43852700
2005-02-16,81.5997010223707,81.95732726750182,81.42425988677122,81.78863525390625,55523000
2005-02-17,81.80215624248558,81.86963203707069,81.12063887660783,81.12738800048828,58124000
2005-02-18,81.13412767256024,81.29607574866176,80.9047089535257,81.23534393310547,47723300
2005-02-22,80.90468922185242,81.28930679966246,80.01399561281487,80.0274887084961,80697600
2005-02-23,80.25017416698071,80.68202535973492,80.04099769338573,80.6010513305664,68292600
2005-02-24,80.45933387608282,81.18808454254031,80.28389790487995,81.13410186767578,68563600
2005-02-25,81.15435457023106,82.09903091014341,81.09362791421499,81.93708801269531,60899900
2005-02-28,81.74816014325626,81.84937639257394,80.99916710560657,81.39727783203125,69381300
2005-03-01,81.52550470006773,81.99784044446515,81.49851335066309,81.80216217041016,47294400
2005-03-02,81.48500544284705,82.27448296419621,81.41078053249055,81.76165771484375,64226500
2005-03-03,82.09229452696303,82.25423743938583,81.44451258112711,81.79539489746094,61230800
2005-03-04,82.35544279708614,82.8817610538988,82.1800016621247,82.81428527832031,56168500
2005-03-07,82.76702599134299,83.1651365471482,82.5915849109198,82.85474395751953,43442400
2005-03-08,82.77379121275318,82.9964658933701,82.39592277151581,82.54437255859375,44362000
2005-03-09,82.30146948370071,82.5173950789683,81.61995223223303,81.62670135498047,73263600
2005-03-10,81.78189232500432,81.9843248158773,81.2420809294632,81.80888366699219,65149000
2005-03-11,81.85612944727606,82.13278688289485,81.08015012859926,81.23534393310547,57976500
2005-03-14,81.3837906193661,81.75491517767597,81.16111588438018,81.74141693115234,36336400
2005-03-15,81.93033743363065,81.95732877407072,81.02615069521175,81.06663513183594,62438500
2005-03-16,80.76971075030855,81.08010849608559,80.22989955136764,80.37834930419922,74874200
2005-03-17,80.50658088565005,80.79673137645437,80.28391132374095,80.54032135009766,62584200
2005-03-18,80.68732159301392,80.97183613547479,80.03700042383485,80.30119323730469,60232000
2005-03-21,80.41633843449516,80.4637575162297,79.77279301548442,80.00311279296875,61244300
2005-03-22,80.18602971590266,80.56538242209771,79.19022369384766,79.19022369384766,92472400
2005-03-23,79.22407684305436,79.74569188574584,79.08859523544965,79.25794982910156,70817300
2005-03-24,79.56958746414155,79.92861849218389,79.2986189927701,79.35281372070312,51932500
2005-03-28,79.54248825886735,79.89474881398397,79.46797180175781,79.46797180175781,46765500
2005-03-29,79.35280088444371,79.86764037993869,78.74989884652301,78.9395751953125,71160300
2005-03-30,79.10893269437179,80.07086573725122,79.10215706215628,80.05731964111328,62002100
2005-03-31,80.06410322440583,80.24700396604368,79.84732948661961,79.90829467773438,64575400
2005-04-01,80.3621786330994,80.60604977890493,79.197022808833,79.54927825927734,95255300
2005-04-04,79.50183743394841,79.8405466918748,79.08183609353415,79.68473815917969,71581200
2005-04-05,79.78636568223288,80.1928158279381,79.71184921921929,80.0641098022461,46853900
2005-04-06,80.24021359109553,80.57892281717578,80.05731288306094,80.34182739257812,53268200
2005-04-07,80.21318258510749,80.78898767499075,80.15221219039464,80.77543640136719,46734600
2005-04-08,80.72797280363343,80.75507016765482,79.93539428710938,79.93539428710938,63772900
2005-04-11,80.13182467416692,80.21988720724993,79.82021282445899,79.996337890625,44945000
2005-04-12,79.8608614902499,80.65343984462889,79.30537856218608,80.4095687866211,86144800
2005-04-13,80.31473282826393,80.47731698360909,79.34602420124352,79.46118927001953,65949000
2005-04-14,79.52890825482736,79.59664905014793,78.42471313476562,78.42471313476562,96119800
2005-04-15,78.40441686318395,78.71602875744135,77.29345092077301,77.32732391357422,128677300
2005-04-18,77.30702823576951,77.87605749486842,77.19863875691553,77.56444549560547,100035200
2005-04-19,77.97085920186709,78.26214932954818,77.78795850229635,78.18086242675781,64930100
2005-04-20,78.16055796264824,78.3299126164514,76.92088582471246,77.09024047851562,107735900
2005-04-21,77.76087460641993,78.72280769010341,77.48313052502627,78.58732604980469,86952200
2005-04-22,78.40441313564348,78.91925262564521,77.4086071468308,78.28925323486328,88845800
2005-04-25,78.48572769288039,78.91927522917368,78.39088949233464,78.80411529541016,52284100
2005-04-26,78.55344421444636,79.10215151468081,78.00473691421189,78.03860473632812,72626000
2005-04-27,77.80828362819534,78.62795933300306,77.52376911941103,78.34344482421875,84131900
2005-04-28,78.08602838569597,78.36377245206259,77.36119079589844,77.36119079589844,72481500
2005-04-29,77.9505262926767,78.49246301889252,77.20536717034868,78.41117095947266,103993800
2005-05-02,78.6279521562209,78.85827709585139,78.2553699751828,78.85150146484375,56026400
2005-05-03,78.62798370741595,79.15636943561108,78.37056647704489,78.98701477050781,86000300
2005-05-04,79.02085980480003,79.76601903387841,78.77021312856691,79.59666442871094,81055700
2005-05-05,79.71183734952395,79.93538670527654,79.08183790858962,79.569580078125,96906700
2005-05-06,79.88796582069959,79.92860927781703,79.29860985103112,79.31893157958984,67415400
2005-05-09,79.40022035380177,79.98957629891395,79.2918360832402,79.81344604492188,43750500
2005-05-10,79.50185439954414,79.59669259853844,78.84475747201637,78.98701477050781,74613500
2005-05-11,79.21053417520585,79.52892165196741,78.47892105859957,79.4205322265625,91647400
2005-05-12,79.47478048189161,79.65768130011841,78.54671478271484,78.54671478271484,95086800
2005-05-13,78.7837501055759,79.00052375415157,77.76762265882277,78.3908462524414,85267000
2005-05-16,78.37728759034721,79.14954396348493,78.35019540908884,79.12245178222656,49207000
2005-05-17,78.85829284431962,79.73215819201207,78.68893821335249,79.65087127685547,61071800
2005-05-18,79.9963468645616,80.66699488966924,79.94215731335822,80.47054290771484,77944900
2005-05-19,80.62635922110229,80.89055722902538,80.40958547657839,80.80926513671875,61768100
2005-05-20,80.84311952221469,80.87699251378314,80.4366694648577,80.694091796875,46345500
2005-05-23,80.75507641133962,81.31733512959427,80.74153031242845,81.14120483398438,51047900
2005-05-24,80.91086411381055,81.17505690496353,80.74827995902965,80.95150756835938,50654100
2005-05-25,80.84989245447677,81.20215294917172,80.49763712807453,80.89054107666016,47608800
2005-05-26,81.1479892531922,81.43250387577717,81.03282931094991,81.3241195678711,43256200
2005-05-27,81.33084543924896,81.45955657958984,81.15472038943619,81.45955657958984,24596100
2005-05-31,81.34444613394868,81.40541134171156,80.88380116932531,80.93799591064453,43377200
2005-06-01,80.96506430239018,81.91345132339003,80.91764520975487,81.62893676757812,69611000
2005-06-02,81.44603795012338,81.85925852809213,81.35797022722885,81.80506896972656,39704500
2005-06-03,81.6627835572057,81.89310331372602,81.10730072103642,81.39181518554688,60999400
2005-06-06,81.25632855049707,81.42568313702857,80.98536534668013,81.31729888916016,36046400
2005-06-07,81.55438795492651,82.1369681008993,81.29697086393747,81.37825775146484,66501300
2005-06-08,81.58149570099249,81.68987995426846,81.06665628512839,81.22924041748047,46881200
2005-06-09,81.1141086933926,81.68314305384723,80.91088619688996,81.61540222167969,56653300
2005-06-10,81.66954543049299,81.73051576264272,81.01922450787961,81.42567443847656,36465300
2005-06-13,81.24958849601488,82.0218452861537,81.16152077035223,81.68313598632812,49383200
2005-06-14,81.59505105690293,82.1031148995195,81.5476319716571,81.87279510498047,33857100
2005-06-15,82.07602685603216,82.13021640741329,81.44602745262675,82.02860260009766,53195600
2005-06-16,82.00828432978598,82.40118831154847,81.91344615050443,82.23860931396484,46564500
2005-06-17,82.66571681450365,82.91057207437036,82.44806827119443,82.54328918457031,51529400
2005-06-20,82.35286989079123,82.86978207936639,82.25764895136147,82.57051849365234,41019400
2005-06-21,82.6385449230453,82.74056885584258,82.31887235521846,82.6181411743164,39879800
2005-06-22,82.76096679669203,82.9378079218537,82.3460733044776,82.68614959716797,46310100
2005-06-23,82.51610094397218,82.70654281336526,81.50267517375802,81.52307891845703,62185600
2005-06-24,81.53670143714855,81.62512460663567,80.8293420270173,80.92456817626953,58572500
2005-06-27,80.91774110864526,81.21700985938548,80.76810673327515,81.04016876220703,48183800
2005-06-28,81.21020729436555,81.7815328877896,81.18980355019349,81.72032165527344,41174200
2005-06-29,81.86996856565773,81.89037231295359,81.45507507346719,81.502685546875,42316500
2005-06-30,81.76794433075068,81.83595855119711,80.90414764470874,81.06058502197266,62288800
2005-07-01,81.24427730813433,81.48233501981335,81.08104203399782,81.29869079589844,49737500
2005-07-05,81.10817345364505,82.06038784858303,81.06736597029732,81.9515609741211,51549000
2005-07-06,81.8836000830132,82.06044127457197,81.21705320500259,81.26466369628906,52363600
2005-07-07,80.45524663331035,81.58429718017578,80.43484288685377,81.58429718017578,103268800
2005-07-08,81.59789321945267,82.51609802246094,81.42785510077886,82.51609802246094,64491200
2005-07-11,82.52294206221895,83.0466574450997,82.50933610003007,82.93783569335938,49688300
2005-07-12,82.97182005153304,83.40711733098954,82.73376766263543,83.15546417236328,51871100
