approach,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,pct_predicted_up,tn,fp,fn,tp,n
Persistence,0.5100286532951289,0.479748548101878,0.5403087584883798,0.5066998229542399,0.5415472779369628,224.0,257.0,256.0,310.0,1047.0
Majority Class,0.5405921680993314,0.5104059418866373,0.5707783943120255,0.5,1.0,0.0,481.0,0.0,566.0,1047.0
Raw Features,0.5434574976122254,0.5132859109104962,0.5736290843139545,0.5038990471852662,0.9875835721107927,8.0,473.0,5.0,561.0,1047.0
Engineered Features,0.5482330468003821,0.5180880956057112,0.578377997995053,0.5090965523827715,0.9828080229226361,13.0,468.0,5.0,561.0,1047.0
