partition,up,down,n,pct_up,pct_down
full,2886,2347,5233,0.5515000955474871,0.4484999044525129
train,2319,1866,4185,0.5541218637992832,0.44587813620071687
test,566,481,1047,0.5405921680993314,0.4594078319006686
